gene,gene
0610005C13Rik,ENSMUSG00000109644.1
0610006L08Rik,ENSMUSG00000108652.1
0610007P14Rik,
0610009B22Rik,ENSMUSG00000007777.9
0610009E02Rik,ENSMUSG00000086714.1
0610009L18Rik,ENSMUSG00000043644.4
0610009O20Rik,
0610010B08Rik,
0610010F05Rik,ENSMUSG00000042208.15
0610010K14Rik,ENSMUSG00000020831.18
0610011F06Rik,
0610012G03Rik,ENSMUSG00000107002.1
0610025J13Rik,ENSMUSG00000046683.16
0610030E20Rik,ENSMUSG00000058706.5
0610031O16Rik,ENSMUSG00000099146.7
0610037L13Rik,
0610038B21Rik,ENSMUSG00000097882.2
0610039H22Rik,
0610039K10Rik,ENSMUSG00000058812.2
0610040B10Rik,ENSMUSG00000089889.2
0610040F04Rik,ENSMUSG00000087341.4
0610040J01Rik,ENSMUSG00000060512.7
0610043K17Rik,ENSMUSG00000087361.7
1010001N08Rik,ENSMUSG00000097222.2
1100001I12Rik,ENSMUSG00000115547.1
1110001J03Rik,
1110002J07Rik,ENSMUSG00000097134.2
1110002L01Rik,ENSMUSG00000071456.6
1110002O04Rik,ENSMUSG00000102531.1
1110004E09Rik,
1110004F10Rik,ENSMUSG00000030663.12
1110006O24Rik,ENSMUSG00000107121.1
1110007C09Rik,
1110008F13Rik,
1110008L16Rik,ENSMUSG00000021023.14
1110008P14Rik,ENSMUSG00000039195.4
1110012L19Rik,ENSMUSG00000045237.5
1110015O18Rik,ENSMUSG00000098659.7
1110017D15Rik,ENSMUSG00000028441.12
1110018N20Rik,ENSMUSG00000085151.7
1110019D14Rik,ENSMUSG00000097616.7
1110020A21Rik,ENSMUSG00000097047.2
1110025L11Rik,ENSMUSG00000068073.2
1110028F11Rik,ENSMUSG00000085972.1
1110028F18Rik,ENSMUSG00000099139.1
1110032A03Rik,ENSMUSG00000037971.10
1110032F04Rik,ENSMUSG00000046999.2
1110034G24Rik,
1110036E04Rik,ENSMUSG00000097036.1
1110037F02Rik,
1110038B12Rik,ENSMUSG00000092203.7
1110038F14Rik,ENSMUSG00000063236.6
1110046J04Rik,ENSMUSG00000085457.3
1110051M20Rik,ENSMUSG00000040591.18
1110054M08Rik,
1110057K04Rik,
1110057P08Rik,ENSMUSG00000068067.2
1110058D11Rik,
1110058L19Rik,
1110059E24Rik,ENSMUSG00000035171.9
1110059G10Rik,ENSMUSG00000032551.7
1110065P20Rik,ENSMUSG00000078570.10
1190002F15Rik,
1190002N15Rik,
1190003K10Rik,
1190005I06Rik,ENSMUSG00000043687.15
1190007I07Rik,ENSMUSG00000063320.11
1190028D05Rik,ENSMUSG00000110013.1
1200014J11Rik,
1300002E11Rik,ENSMUSG00000097290.9
1300017J02Rik,ENSMUSG00000033688.10
1500002F19Rik,ENSMUSG00000097595.2
1500004A13Rik,ENSMUSG00000098912.7
1500009C09Rik,ENSMUSG00000068099.5
1500009L16Rik,ENSMUSG00000087651.3
1500011B03Rik,ENSMUSG00000072694.8
1500011K16Rik,
1500012F01Rik,
1500012K07Rik,ENSMUSG00000097247.2
1500015A07Rik,ENSMUSG00000098702.1
1500015L24Rik,ENSMUSG00000094732.2
1500015O10Rik,ENSMUSG00000026051.8
1500017E21Rik,
1500026H17Rik,ENSMUSG00000097383.1
1500035N22Rik,ENSMUSG00000059631.6
1520401A03Rik,ENSMUSG00000043747.12
1600002D24Rik,ENSMUSG00000117232.1
1600002H07Rik,
1600002K03Rik,ENSMUSG00000035595.6
1600010M07Rik,ENSMUSG00000101585.6
1600012H06Rik,ENSMUSG00000050088.9
1600014C10Rik,ENSMUSG00000054676.15
1600014C23Rik,ENSMUSG00000094690.2
1600014K23Rik,
1600015I10Rik,ENSMUSG00000029813.8
1600019K03Rik,ENSMUSG00000099429.1
1600020E01Rik,ENSMUSG00000097048.7
1600023N17Rik,ENSMUSG00000104986.1
1600025M17Rik,ENSMUSG00000085114.1
1600027J07Rik,ENSMUSG00000110340.1
1600029I14Rik,
1600029O15Rik,ENSMUSG00000057818.8
1700001C02Rik,ENSMUSG00000029182.10
1700001C19Rik,ENSMUSG00000047150.8
1700001D01Rik,ENSMUSG00000099419.1
